author,coauthor,count
"Zhang, Dongdong","Wei, Furu",2
"Zhao, Wayne Xin","Huang, Haoyang",2
"Zhao, Wayne Xin","Zhang, Dongdong",2
"Zhou, Jingyan","Meng, Helen",2
"Zhao, Wayne Xin","Wei, Furu",2
"Wei, Furu","Huang, Haoyang",2
"Wei, Furu","Tang, Tianyi",2
"Lu, Yanbin","Chen, Zheng",2
"Zhang, Xiaoying","Meng, Helen",2
"Zhou, Jingyan","Zhang, Xiaoying",2
"Shutova, Ekaterina","Choenni, Rochelle",2
"Mousi, Basel","Dalvi, Fahim",2
"Sheng, Ying","Gonzalez, Joseph E.",2
"Durrani, Nadir","Dalvi, Fahim",2
"Wang, Jianyong","Li, Xiuxing",2
"Wang, Jianyong","Liu, Ning",2
"Liu, Zhiyuan","Cui, Ganqu",2
"Sun, Maosong","Cui, Ganqu",2
"Zheng, Lianmin","Chiang, Wei-Lin",2
"Zheng, Lianmin","Sheng, Ying",2
"Zheng, Lianmin","Wu, Zhanghao",2
"Zheng, Lianmin","Lin, Zi",2
"Zheng, Lianmin","Li, Zhuohan",2
"Zheng, Lianmin","Xing, Eric. P",2
"Zheng, Lianmin","Zhang, Hao",2
"Zheng, Lianmin","Gonzalez, Joseph E.",2
"Zheng, Lianmin","Stoica, Ion",2
"Sheng, Ying","Chiang, Wei-Lin",2
"Sheng, Ying","Lin, Zi",2
"Wang, Jianyong","Dong, Bowen",2
"Liu, Ning","Li, Xiuxing",2
"Liu, Ning","Dong, Bowen",2
"Tang, Xiangru","Nan, Linyong",2
"Lin, Yen-Ting","Chen, Yun-Nung",2
"Xiong, Caiming","Joty, Shafiq",2
"Zhang, Kexun","Li, Lei",2
"Zhang, Yuwei","Shang, Jingbo",2
"Rao, Abhinav","Choudhury, Monojit",2
"Zhao, Yilun","Tang, Xiangru",2
"Tang, Xiangru","Cohan, Arman",2
"Li, Xiuxing","Dong, Bowen",2
"Zhang, Xiang","Li, Senyu",2
"Zhang, Xiang","Shi, Ning",2
"Shi, Ning","Li, Senyu",2
"Han, Shi","Du, Lun",2
"Zhang, Dongmei","Du, Lun",2
"Zhang, Dongmei","Han, Shi",2
"Papailiopoulos, Dimitris","Lee, Kangwook",2
"Papailiopoulos, Dimitris","Lee, Gibbeum",2
"Wallace, Byron C.","Amir, Silvio",2
"Zhou, Xuanhe","Li, Guoliang",2
"Uchendu, Adaku","Le, Thai",2
"Lee, Jooyoung","Lee, Dongwon",2
"Lee, Dongwon","Le, Thai",2
"Wang, Lei","Hu, Zhiqiang",2
"Wang, Lei","Lan, Yihuai",2
"Lan, Yihuai","Hu, Zhiqiang",2
"Lim, Ee-Peng","Hu, Zhiqiang",2
"Lim, Ee-Peng","Lan, Yihuai",2
"Hua, Wenyue","Ge, Yingqiang",2
"Tan, Juntao","Ge, Yingqiang",2
"Tan, Juntao","Hua, Wenyue",2
"Xu, Shuyuan","Ge, Yingqiang",2
"Xu, Shuyuan","Hua, Wenyue",2
"Xu, Shuyuan","Tan, Juntao",2
"Zhang, Yongfeng","Ge, Yingqiang",2
"Uchendu, Adaku","Lee, Jooyoung",2
"Duan, Nan","Chen, Weizhu",2
"Lin, Chen","Chen, Weizhu",2
"Youn, Stephen","He, Yuxiong",2
"Fritz, Mario","Abdelnabi, Sahar",2
"Rogers, Anna","Luccioni, Alexandra Sasha",2
"Tang, Ruixiang","Han, Xiaotian",2
"Qi, Guilin","Hu, Nan",2
"Youn, Stephen","Yao, Zhewei",2
"Youn, Stephen","Wu, Xiaoxia",2
"Lin, Zhenghao","Gong, Yeyun",2
"Lin, Chen","Duan, Nan",2
"Lin, Zhenghao","Lin, Chen",2
"Lin, Zhenghao","Duan, Nan",2
"Lin, Zhenghao","Chen, Weizhu",2
"Gong, Yeyun","Duan, Nan",2
"Gong, Yeyun","Chen, Weizhu",2
"Lin, Chen","Gong, Yeyun",2
"Zhang, Yongfeng","Hua, Wenyue",2
"Zhang, Yongfeng","Tan, Juntao",2
"Zhang, Yongfeng","Xu, Shuyuan",2
"Liu, Zhiyuan","Chua, Tat-Seng",2
"Sun, Tianxiang","Qiu, Xipeng",2
"Fei, Hao","Chua, Tat-Seng",2
"Yao, Yuan","Liu, Zhiyuan",2
"Yao, Yuan","Chua, Tat-Seng",2
"Ji, Wei","Fei, Hao",2
"Ji, Wei","Chua, Tat-Seng",2
"Jiao, Fangkai","Ding, Bosheng",2
"Ren, Ke","Qiu, Xipeng",2
"Li, Jinyang","Hui, Binyuan",2
"Li, Jinyang","Li, Bowen",2
"Li, Bowen","Hui, Binyuan",2
"Wang, Bailin","Li, Jinyang",2
"Wang, Bailin","Hui, Binyuan",2
"Wang, Bailin","Li, Bowen",2
"Sun, Tianxiang","Li, Linyang",2
"Ren, Ke","Li, Linyang",2
"Wu, Chenfei","Liang, Yaobo",2
"Yu, Haiyang","Li, Yongbin",2
"Wu, Chenfei","Duan, Nan",2
"Xia, Yan","Song, Ting",2
"Yu, Bowen","Huang, Fei",2
"Yu, Bowen","Li, Yongbin",2
"Yu, Haiyang","Yu, Bowen",2
"Yu, Haiyang","Huang, Fei",2
"Yang, Jingfeng","Jin, Hongye",2
"Wang, Pengyu","Qiu, Xipeng",2
"Yang, Jingfeng","Han, Xiaotian",2
"Yang, Jingfeng","Hu, Xia",2
"Jin, Hongye","Han, Xiaotian",2
"Jin, Hongye","Hu, Xia",2
"Wang, Pengyu","Li, Linyang",2
"Wang, Pengyu","Ren, Ke",2
"Sheng, Ying","Li, Zhuohan",2
"Zhuang, Siyuan","Zheng, Lianmin",2
"Li, Eric John","Lam, Man Ho",2
"Zhou, Hongyu","Zhang, Xiangyu",2
"Yang, Jinrong","Peng, Yuang",2
"Yang, Jinrong","Dong, Runpei",2
"Yang, Jinrong","Han, Chunrui",2
"Wei, Haoran","Ge, Zheng",2
"Wei, Haoran","Sun, Jianjian",2
"Wei, Haoran","Peng, Yuang",2
"Wei, Haoran","Dong, Runpei",2
"Wei, Haoran","Han, Chunrui",2
"Zhou, Hongyu","Zhao, Liang",2
"Zhou, Hongyu","Ge, Zheng",2
"Zhou, Hongyu","Yang, Jinrong",2
"Zhou, Hongyu","Wei, Haoran",2
"Zhou, Hongyu","Sun, Jianjian",2
"Zhou, Hongyu","Peng, Yuang",2
"Zhou, Hongyu","Dong, Runpei",2
"Yang, Jinrong","Sun, Jianjian",2
"Yang, Jinrong","Wei, Haoran",2
"Yang, Jinrong","Ge, Zheng",2
"Zhao, Liang","Ge, Zheng",2
"Zhang, Chi","Sun, Ruiyang",2
"Zhang, Chi","Wang, Yizhou",2
"Zhang, Chi","Yang, Yaodong",2
"Meyer, Lars-Peter","Frey, Johannes",2
"Meyer, Lars-Peter","Bulert, Kirill",2
"Frey, Johannes","Bulert, Kirill",2
"Zhao, Liang","Yang, Jinrong",2
"Ge, Zheng","Dong, Runpei",2
"Zhao, Liang","Wei, Haoran",2
"Zhao, Liang","Sun, Jianjian",2
"Zhao, Liang","Peng, Yuang",2
"Zhao, Liang","Dong, Runpei",2
"Zhao, Liang","Han, Chunrui",2
"Zhao, Liang","Zhang, Xiangyu",2
"Zhou, Hongyu","Han, Chunrui",2
"Sun, Jianjian","Ge, Zheng",2
"Zhuang, Siyuan","Chiang, Wei-Lin",2
"Sun, Jianjian","Peng, Yuang",2
"Jiang, Feng","Fan, Yaxin",2
"Li, Haizhou","Jiang, Feng",2
"Yao, Bingsheng","Hendler, James",2
"Wang, Dakuo","Hendler, James",2
"Zhou, Hao","Meng, Fandong",2
"Singh, Chandan","Gao, Jianfeng",2
"Zhou, Jie","Zhou, Hao",2
"Zhou, Jie","Lin, Yankai",2
"Zhou, Jie","Meng, Fandong",2
"Zhou, Jie","Sun, Xu",2
"Sun, Xu","Meng, Fandong",2
"Thakur, Nandan","Lin, Jimmy",2
"Lam, Man Ho","Huang, Jen-tse",2
"Lam, Man Ho","Jiao, Wenxiang",2
"Li, Eric John","Huang, Jen-tse",2
"Zhang, Min","Zhang, Meishan",2
"Okazaki, Naoaki","Koike, Ryuto",2
"Koike, Ryuto","Kaneko, Masahiro",2
"Han, Chunrui","Dong, Runpei",2
"Sun, Jianjian","Dong, Runpei",2
"Sun, Jianjian","Han, Chunrui",2
"Peng, Yuang","Ge, Zheng",2
"Peng, Yuang","Dong, Runpei",2
